Group Name,Accuracy,Auc Area,Precision,Recall
,,,,
all features,0.9667832167832168,0.6109154929577465,0.058823529411764705,0.25
block features,0.9702797202797203,0.6126760563380282,0.06666666666666667,0.25
function features,0.9702797202797203,0.6126760563380282,0.06666666666666667,0.25
"with (1, 8)",0.965034965034965,0.6100352112676056,0.05555555555555555,0.25
"without(1, 8)",0.9702797202797203,0.6126760563380282,0.06666666666666667,0.25
"with (9, 16)",0.972027972027972,0.613556338028169,0.07142857142857142,0.25
"without(9, 16)",0.965034965034965,0.6100352112676056,0.05555555555555555,0.25
"with (17, 24)",0.9737762237762237,0.6144366197183099,0.07692307692307693,0.25
"without(17, 24)",0.9702797202797203,0.6126760563380282,0.06666666666666667,0.25
"with (25, 64)",0.9632867132867133,0.6091549295774648,0.05263157894736842,0.25
"without(25, 64)",0.9667832167832168,0.4867957746478873,0.0,0.0
"with (65, 69)",0.9772727272727273,0.4920774647887324,0.0,0.0
"without(65, 69)",0.9685314685314685,0.6117957746478873,0.0625,0.25
"with (70, 77)",0.972027972027972,0.4894366197183099,0.0,0.0
"without(70, 77)",0.972027972027972,0.613556338028169,0.07142857142857142,0.25
"with (78, 93)",0.9755244755244755,0.49119718309859156,0.0,0.0
"without(78, 93)",0.972027972027972,0.613556338028169,0.07142857142857142,0.25
"with (94, 125)",0.9632867132867133,0.4850352112676056,0.0,0.0
"without(94, 125)",0.9685314685314685,0.6117957746478873,0.0625,0.25
