Class_path,Method_name,Method_len,Method_access,Block_id,Block_start,Block_end,Block_count,Block_opcode,Block_type,Cond_true_start,Cond_true_end,Cond_true_count,Cond_false_start,Cond_false_end,Cond_false_count,Goto_start,Goto_count,Line_in_file,Can_fall_through
org/apache/tika/ResourceLoggingClassLoader.java,<init>,17,1,5044,0,16,1,-,exit,-,-,-,-,-,-,-,-,38,no
org/apache/tika/ResourceLoggingClassLoader.java,fetchRecord,40,2,5045,0,17,4,-,cond,38,39,0,18,37,4,-,-,42,no
org/apache/tika/ResourceLoggingClassLoader.java,fetchRecord,40,2,5047,18,37,4,-,-,-,-,-,-,-,-,-,-,47,no
org/apache/tika/ResourceLoggingClassLoader.java,fetchRecord,40,2,5048,38,39,4,-,exit,-,-,-,-,-,-,-,-,47,yes
org/apache/tika/ResourceLoggingClassLoader.java,getResource,22,1,5049,0,21,1,-,exit,-,-,-,-,-,-,-,-,52,no
org/apache/tika/ResourceLoggingClassLoader.java,getResources,33,1,5050,0,32,3,-,exit,-,-,-,-,-,-,-,-,60,no
org/apache/tika/ResourceLoggingClassLoader.java,getLoadedResources,27,1,5051,0,17,0,-,cond,22,26,0,18,21,0,-,-,72,no
org/apache/tika/ResourceLoggingClassLoader.java,getLoadedResources,27,1,5053,18,21,0,areturn,exit,-,-,-,-,-,-,-,-,74,no
org/apache/tika/ResourceLoggingClassLoader.java,getLoadedResources,27,1,5052,22,26,0,areturn,exit,-,-,-,-,-,-,-,-,74,no
org/apache/tika/ResourceLoggingClassLoader.java,getLoadedResources,8,1,5054,0,7,2,-,exit,-,-,-,-,-,-,-,-,77,no
org/apache/tika/ResourceLoggingClassLoader.java,resetLoadedResources,10,1,5055,0,9,0,-,exit,-,-,-,-,-,-,-,-,80,no
org/apache/tika/TestParsers.java,<init>,5,1,17039,0,4,4,-,exit,-,-,-,-,-,-,-,-,38,no
org/apache/tika/TestParsers.java,setUp,23,1,17040,0,22,4,-,exit,-,-,-,-,-,-,-,-,46,no
org/apache/tika/TestParsers.java,testWORDxtraction,87,1,17041,0,63,1,-,goto,-,-,-,-,-,-,74,1,52,no
org/apache/tika/TestParsers.java,testWORDxtraction,87,1,17043,64,73,0,-,exit,-,-,-,-,-,-,-,-,63,no
org/apache/tika/TestParsers.java,testWORDxtraction,87,1,17043,74,86,0,return,exit,-,-,-,-,-,-,-,-,63,no
org/apache/tika/TestParsers.java,testEXCELExtraction,115,1,17044,0,90,1,-,goto,-,-,-,-,-,-,101,1,67,no
org/apache/tika/TestParsers.java,testEXCELExtraction,115,1,17046,91,100,0,-,exit,-,-,-,-,-,-,-,-,82,no
org/apache/tika/TestParsers.java,testEXCELExtraction,115,1,17046,101,114,0,return,exit,-,-,-,-,-,-,-,-,82,no
org/apache/tika/TestParsers.java,testOptionalHyphen,178,1,17047,0,43,1,-,methenter,-,-,-,-,-,-,-,-,86,no
org/apache/tika/TestParsers.java,testOptionalHyphen,178,1,17060,44,49,1,-,cond,177,177,1,50,132,6,-,-,98,yes
org/apache/tika/TestParsers.java,testOptionalHyphen,178,1,17049,50,132,6,-,cond,163,166,2,133,142,4,-,-,98,no
org/apache/tika/TestParsers.java,testOptionalHyphen,178,1,17051,133,142,4,-,cond,163,166,3,143,152,1,-,-,98,no
org/apache/tika/TestParsers.java,testOptionalHyphen,178,1,17053,143,152,1,-,cond,163,166,1,153,162,0,-,-,98,no
org/apache/tika/TestParsers.java,testOptionalHyphen,178,1,17055,153,162,0,-,cond,167,167,0,163,166,0,-,-,98,no
org/apache/tika/TestParsers.java,testOptionalHyphen,178,1,17057,163,166,0,-,goto,-,-,-,-,-,-,168,6,98,no
org/apache/tika/TestParsers.java,testOptionalHyphen,178,1,17056,167,167,0,-,-,-,-,-,-,-,-,-,-,98,no
org/apache/tika/TestParsers.java,testOptionalHyphen,178,1,17061,168,176,0,-,goto,-,-,-,-,-,-,44,6,98,yes
org/apache/tika/TestParsers.java,testOptionalHyphen,178,1,17061,177,177,0,return,exit,-,-,-,-,-,-,-,-,98,no
org/apache/tika/TestParsers.java,verifyComment,122,2,17062,0,121,8,-,exit,-,-,-,-,-,-,-,-,101,no
org/apache/tika/TestParsers.java,testComment,83,1,17063,0,55,1,-,methenter,-,-,-,-,-,-,-,-,111,no
org/apache/tika/TestParsers.java,testComment,83,1,17067,56,61,1,-,cond,82,82,1,62,81,8,-,-,116,yes
org/apache/tika/TestParsers.java,testComment,83,1,17065,62,81,8,-,goto,-,-,-,-,-,-,56,8,116,no
org/apache/tika/TestParsers.java,testComment,83,1,17064,82,82,1,return,exit,-,-,-,-,-,-,-,-,116,no
org/apache/tika/TestRereadableInputStream.java,<init>,20,1,5059,0,19,3,-,exit,-,-,-,-,-,-,-,-,31,no
org/apache/tika/TestRereadableInputStream.java,test,125,1,5060,0,18,1,-,methenter,-,-,-,-,-,-,-,-,42,no
org/apache/tika/TestRereadableInputStream.java,test,125,1,5069,19,23,1,-,cond,108,114,1,24,26,4,-,-,60,yes
