Class_path,Method_%,Method_fraction,Block_%,Block_fraction,Branch_%,Branch_fraction,Line_%,Line_fraction
,,,,,,,,
org\apache\commons\math4\ExtendedFieldElementAbstractTest,0,(0/60),0,(0/289),0,(0/154),0,(0/251)
org\apache\commons\math4\PerfTestUtils$RunTest,0,(0/3),0,(0/3),-,,0,(0/4)
org\apache\commons\math4\PerfTestUtils,0,(0/9),0,(0/57),0,(0/34),0,(0/94)
org\apache\commons\math4\Retry,0,(0/1),0,(0/1),-,,-,
org\apache\commons\math4\RetryRunner$1,0,(0/2),0,(0/9),0,(0/4),0,(0/13)
org\apache\commons\math4\RetryRunner,0,(0/2),0,(0/2),-,,0,(0/4)
org\apache\commons\math4\RetryRunnerTest,0,(0/3),0,(0/5),0,(0/2),0,(0/6)
org\apache\commons\math4\TestUtils,0,(0/30),0,(0/148),0,(0/100),0,(0/255)
org\apache\commons\math4\analysis\FunctionUtilsTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\FunctionUtilsTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\FunctionUtilsTest$3,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\FunctionUtilsTest$4,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\FunctionUtilsTest$5,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\FunctionUtilsTest$6,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\FunctionUtilsTest$7,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\FunctionUtilsTest$8,0,(0/3),0,(0/3),-,,0,(0/3)
org\apache\commons\math4\analysis\FunctionUtilsTest$9,0,(0/3),0,(0/3),-,,0,(0/8)
org\apache\commons\math4\analysis\MonitoredFunction,0,(0/4),0,(0/4),-,,0,(0/9)
org\apache\commons\math4\analysis\QuinticFunction,0,(0/3),0,(0/3),-,,0,(0/3)
org\apache\commons\math4\analysis\SumSincFunction,0,(0/3),0,(0/6),0,(0/2),0,(0/10)
org\apache\commons\math4\analysis\XMinus5Function,0,(0/3),0,(0/3),-,,0,(0/3)
org\apache\commons\math4\analysis\differentiation\DerivativeStructureTest,0,(0/78),0,(0/700),0,(0/434),0,(0/950)
org\apache\commons\math4\analysis\differentiation\DSCompilerTest,0,(0/11),0,(0/81),0,(0/54),0,(0/257)
org\apache\commons\math4\analysis\differentiation\FiniteDifferencesDifferentiatorTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\differentiation\FiniteDifferencesDifferentiatorTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\differentiation\FiniteDifferencesDifferentiatorTest$3,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\differentiation\FiniteDifferencesDifferentiatorTest$4,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\differentiation\FiniteDifferencesDifferentiatorTest$5,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\differentiation\FiniteDifferencesDifferentiatorTest$6,0,(0/2),0,(0/6),0,(0/4),0,(0/6)
org\apache\commons\math4\analysis\differentiation\FiniteDifferencesDifferentiatorTest$7,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\differentiation\FiniteDifferencesDifferentiatorTest$8,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\differentiation\FiniteDifferencesDifferentiatorTest$9,0,(0/2),0,(0/2),-,,0,(0/4)
org\apache\commons\math4\analysis\differentiation\FiniteDifferencesDifferentiatorTest,0,(0/17),0,(0/79),0,(0/38),0,(0/192)
org\apache\commons\math4\analysis\differentiation\GradientFunctionTest$1,-,,-,,-,,-,
org\apache\commons\math4\analysis\differentiation\GradientFunctionTest$EuclideanDistance,0,(0/4),0,(0/13),0,(0/6),0,(0/14)
org\apache\commons\math4\analysis\differentiation\GradientFunctionTest,0,(0/3),0,(0/18),0,(0/10),0,(0/16)
org\apache\commons\math4\analysis\differentiation\JacobianFunctionTest$SphereMapping,0,(0/4),0,(0/4),-,,0,(0/21)
org\apache\commons\math4\analysis\differentiation\JacobianFunctionTest,0,(0/2),0,(0/11),0,(0/6),0,(0/12)
org\apache\commons\math4\analysis\differentiation\SparseGradientTest,0,(0/73),0,(0/313),0,(0/162),0,(0/712)
org\apache\commons\math4\analysis\function\BivariateFunctionTest,0,(0/4),0,(0/4),-,,0,(0/9)
org\apache\commons\math4\analysis\function\GaussianTest,0,(0/15),0,(0/18),0,(0/2),0,(0/80)
org\apache\commons\math4\analysis\function\HarmonicOscillatorTest,0,(0/9),0,(0/26),0,(0/12),0,(0/67)
org\apache\commons\math4\analysis\function\LogisticTest,0,(0/15),0,(0/24),0,(0/6),0,(0/100)
org\apache\commons\math4\analysis\function\LogitTest,0,(0/16),0,(0/41),0,(0/16),0,(0/119)
org\apache\commons\math4\analysis\function\SigmoidTest,0,(0/10),0,(0/10),-,,0,(0/49)
org\apache\commons\math4\analysis\function\SincTest$1,0,(0/2),0,(0/2),-,,0,(0/3)
org\apache\commons\math4\analysis\function\SincTest$2,0,(0/2),0,(0/2),-,,0,(0/3)
org\apache\commons\math4\analysis\function\SincTest,0,(0/9),0,(0/21),0,(0/8),0,(0/52)
org\apache\commons\math4\analysis\function\SqrtTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\function\SqrtTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\function\SqrtTest,0,(0/4),0,(0/10),0,(0/4),0,(0/23)
org\apache\commons\math4\analysis\function\StepFunctionTest,0,(0/10),0,(0/16),0,(0/4),0,(0/50)
org\apache\commons\math4\analysis\function\UnivariateDifferentiableFunctionTest,0,(0/25),0,(0/25),-,,0,(0/128)
org\apache\commons\math4\analysis\function\UnivariateFunctionTest,0,(0/9),0,(0/9),-,,0,(0/66)
org\apache\commons\math4\analysis\integration\IterativeLegendreGaussIntegratorTest$1,0,(0/2),0,(0/6),0,(0/4),0,(0/2)
org\apache\commons\math4\analysis\integration\IterativeLegendreGaussIntegratorTest,0,(0/7),0,(0/33),0,(0/16),0,(0/76)
org\apache\commons\math4\analysis\integration\MidPointIntegratorTest,0,(0/5),0,(0/47),0,(0/24),0,(0/72)
org\apache\commons\math4\analysis\integration\RombergIntegratorTest,0,(0/4),0,(0/40),0,(0/20),0,(0/51)
org\apache\commons\math4\analysis\integration\SimpsonIntegratorTest,0,(0/4),0,(0/40),0,(0/20),0,(0/51)
org\apache\commons\math4\analysis\integration\TrapezoidIntegratorTest,0,(0/4),0,(0/40),0,(0/20),0,(0/51)
org\apache\commons\math4\analysis\integration\gauss\BaseRuleFactoryTest,0,(0/2),0,(0/8),0,(0/4),0,(0/12)
org\apache\commons\math4\analysis\integration\gauss\DummyRuleFactory,0,(0/4),0,(0/9),0,(0/2),0,(0/14)
org\apache\commons\math4\analysis\integration\gauss\GaussianQuadratureAbstractTest,0,(0/3),0,(0/9),0,(0/4),0,(0/18)
org\apache\commons\math4\analysis\integration\gauss\GaussIntegratorTest,0,(0/4),0,(0/10),0,(0/4),0,(0/23)
org\apache\commons\math4\analysis\integration\gauss\HermiteParametricTest,0,(0/4),0,(0/12),0,(0/6),0,(0/17)
org\apache\commons\math4\analysis\integration\gauss\HermiteTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\integration\gauss\HermiteTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\integration\gauss\HermiteTest$3,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\integration\gauss\HermiteTest,0,(0/5),0,(0/5),-,,0,(0/31)
org\apache\commons\math4\analysis\integration\gauss\LaguerreTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\integration\gauss\LaguerreTest,0,(0/3),0,(0/6),0,(0/2),0,(0/10)
org\apache\commons\math4\analysis\integration\gauss\LegendreHighPrecisionParametricTest,0,(0/4),0,(0/9),0,(0/4),0,(0/10)
org\apache\commons\math4\analysis\integration\gauss\LegendreHighPrecisionTest,0,(0/4),0,(0/4),-,,0,(0/16)
org\apache\commons\math4\analysis\integration\gauss\LegendreParametricTest,0,(0/4),0,(0/9),0,(0/4),0,(0/10)
org\apache\commons\math4\analysis\integration\gauss\LegendreTest,0,(0/4),0,(0/4),-,,0,(0/16)
org\apache\commons\math4\analysis\integration\gauss\RuleBuilder,0,(0/4),0,(0/4),-,,0,(0/5)
org\apache\commons\math4\analysis\interpolation\AkimaSplineInterpolatorTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\AkimaSplineInterpolatorTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\AkimaSplineInterpolatorTest$3,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\BicubicInterpolatingFunctionTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\BicubicInterpolatingFunctionTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\BicubicInterpolatingFunctionTest$3,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\BicubicInterpolatingFunctionTest$4,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\BicubicInterpolatingFunctionTest$5,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\BicubicInterpolatingFunctionTest$6,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\BicubicInterpolatingFunctionTest$7,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\BicubicInterpolatingFunctionTest$8,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\BicubicInterpolatingFunctionTest,0,(0/6),0,(0/49),0,(0/14),0,(0/162)
org\apache\commons\math4\analysis\interpolation\BicubicInterpolatorTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\BicubicInterpolatorTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\BicubicInterpolatorTest,0,(0/5),0,(0/31),0,(0/14),0,(0/64)
org\apache\commons\math4\analysis\interpolation\DividedDifferenceInterpolatorTest,0,(0/5),0,(0/18),0,(0/8),0,(0/55)
org\apache\commons\math4\analysis\interpolation\FieldHermiteInterpolatorTest,0,(0/14),0,(0/77),0,(0/42),0,(0/156)
org\apache\commons\math4\analysis\interpolation\HermiteInterpolatorTest,0,(0/14),0,(0/92),0,(0/52),0,(0/147)
org\apache\commons\math4\analysis\interpolation\LoessInterpolatorTest,0,(0/22),0,(0/61),0,(0/26),0,(0/117)
org\apache\commons\math4\analysis\interpolation\MicrosphereProjectionInterpolatorTest$1,0,(0/2),0,(0/4),0,(0/2),0,(0/4)
org\apache\commons\math4\analysis\interpolation\MicrosphereProjectionInterpolatorTest,0,(0/3),0,(0/9),0,(0/4),0,(0/62)
org\apache\commons\math4\analysis\interpolation\NevilleInterpolatorTest,0,(0/5),0,(0/18),0,(0/8),0,(0/55)
org\apache\commons\math4\analysis\interpolation\PiecewiseBicubicSplineInterpolatingFunctionTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\PiecewiseBicubicSplineInterpolatingFunctionTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\PiecewiseBicubicSplineInterpolatingFunctionTest,0,(0/5),0,(0/40),0,(0/10),0,(0/107)
