Class_path,Method_name,Method_len,Method_flags,Block_id,Block_start,Block_end,Block_count,Block_opcode,Block_type,Cond_true_start,Cond_true_end,Cond_true_count,Cond_false_start,Cond_false_end,Cond_false_count,Goto_start,Goto_count,Line_in_file,Can_fall_through,Is_constructor
org/apache/tika/ResourceLoggingClassLoader.java,<init>,17, public,7582,0,16,1,-,exit,-,-,-,-,-,-,-,-,38,no,yes
org/apache/tika/ResourceLoggingClassLoader.java,fetchRecord,40, private,7583,0,17,4,-,cond,38,39,0,18,37,4,-,-,42,no,no
org/apache/tika/ResourceLoggingClassLoader.java,fetchRecord,40, private,7585,18,37,4,-,-,-,-,-,-,-,-,-,-,47,no,no
org/apache/tika/ResourceLoggingClassLoader.java,fetchRecord,40, private,7586,38,39,4,-,exit,-,-,-,-,-,-,-,-,47,yes,no
org/apache/tika/ResourceLoggingClassLoader.java,getResource,22, public,7587,0,21,1,-,exit,-,-,-,-,-,-,-,-,52,no,no
org/apache/tika/ResourceLoggingClassLoader.java,getResources,33, public,7588,0,32,3,-,exit,-,-,-,-,-,-,-,-,60,no,no
org/apache/tika/ResourceLoggingClassLoader.java,getLoadedResources,27, public,7589,0,17,0,-,cond,22,26,0,18,21,0,-,-,72,no,no
org/apache/tika/ResourceLoggingClassLoader.java,getLoadedResources,27, public,7591,18,21,0,areturn,exit,-,-,-,-,-,-,-,-,74,no,no
org/apache/tika/ResourceLoggingClassLoader.java,getLoadedResources,27, public,7590,22,26,0,areturn,exit,-,-,-,-,-,-,-,-,74,no,no
org/apache/tika/ResourceLoggingClassLoader.java,getLoadedResources,8, public,7592,0,7,2,-,exit,-,-,-,-,-,-,-,-,77,no,no
org/apache/tika/ResourceLoggingClassLoader.java,resetLoadedResources,10, public,7593,0,9,0,-,exit,-,-,-,-,-,-,-,-,80,no,no
org/apache/tika/TestParsers.java,<init>,5, public,19767,0,4,4,-,exit,-,-,-,-,-,-,-,-,38,no,yes
org/apache/tika/TestParsers.java,setUp,23, public,19768,0,22,4,-,exit,-,-,-,-,-,-,-,-,46,no,no
org/apache/tika/TestParsers.java,testWORDxtraction,87, public,19769,0,63,1,-,goto,-,-,-,-,-,-,74,1,52,no,no
org/apache/tika/TestParsers.java,testWORDxtraction,87, public,19771,64,73,0,-,exit,-,-,-,-,-,-,-,-,63,no,no
org/apache/tika/TestParsers.java,testWORDxtraction,87, public,19771,74,86,0,return,exit,-,-,-,-,-,-,-,-,63,no,no
org/apache/tika/TestParsers.java,testEXCELExtraction,115, public,19772,0,90,1,-,goto,-,-,-,-,-,-,101,1,67,no,no
org/apache/tika/TestParsers.java,testEXCELExtraction,115, public,19774,91,100,0,-,exit,-,-,-,-,-,-,-,-,82,no,no
org/apache/tika/TestParsers.java,testEXCELExtraction,115, public,19774,101,114,0,return,exit,-,-,-,-,-,-,-,-,82,no,no
org/apache/tika/TestParsers.java,testOptionalHyphen,178, public,19775,0,43,1,-,methenter,-,-,-,-,-,-,-,-,86,no,no
org/apache/tika/TestParsers.java,testOptionalHyphen,178, public,19788,44,49,1,-,cond,177,177,1,50,132,6,-,-,98,yes,no
org/apache/tika/TestParsers.java,testOptionalHyphen,178, public,19777,50,132,6,-,cond,163,166,2,133,142,4,-,-,98,no,no
